,temperature,wind_mph,humid,score_dif
623,46,14.0,43,53
624,64,6.0,58,31
625,64,9.0,76,14
626,39,13.0,62,25
627,37,9.0,59,24
628,58,10.0,62,32
629,43,13.0,42,14
630,53,12.0,59,7
631,46,14.0,62,1
632,38,11.0,73,0
633,35,11.0,83,10
634,47,15.0,52,27
635,54,15.0,79,8
636,31,13.0,80,3
637,48,14.0,66,3
638,40,8.0,71,1
639,58,12.0,80,12
640,62,9.0,77,41
641,34,7.0,70,0
642,38,8.0,78,20
643,39,9.0,64,21
644,30,13.0,74,1
645,30,8.0,60,13
646,32,7.0,77,6
647,36,16.0,44,11
648,32,8.0,69,11
649,63,8.0,79,15
650,32,8.0,76,7
651,58,20.0,79,1
652,71,15.0,68,12
653,55,11.0,80,27
654,49,11.0,90,17
655,33,19.0,78,12
656,42,5.0,83,31
657,44,8.0,70,16
658,50,19.0,94,3
659,20,12.0,39,4
660,43,9.0,90,14
661,18,8.0,78,9
662,20,14.0,75,7
663,21,10.0,40,5
664,20,12.0,72,13
665,57,8.0,86,20
666,58,11.0,82,4
667,53,15.0,74,12
668,30,8.0,57,3
669,52,6.0,71,27
670,54,15.0,79,19
671,41,14.0,79,6
672,28,13.0,76,12
673,39,8.0,79,28
674,50,14.0,49,10
675,47,8.0,77,24
676,46,7.0,86,16
677,44,8.0,66,9
678,35,10.0,82,13
679,58,8.0,61,4
680,40,8.0,75,7
681,54,7.0,90,25
682,70,12.0,80,7
683,69,12.0,78,11
684,75,7.0,66,14
685,71,5.0,71,28
686,69,6.0,77,0
687,72,5.0,90,17
688,68,7.0,71,7
689,67,6.0,79,6
690,70,11.0,72,36
691,55,14.0,57,17
692,49,9.0,60,3
693,72,6.0,63,20
694,54,11.0,73,32
695,77,4.0,65,14
696,54,14.0,63,14
697,62,14.0,78,31
698,56,12.0,64,34
699,61,8.0,68,35
700,71,12.0,57,22
701,68,12.0,62,10
702,56,9.0,66,4
703,58,11.0,64,10
704,65,15.0,56,10
705,53,8.0,81,23
706,50,9.0,72,11
707,44,15.0,93,10
708,57,7.0,86,3
709,61,12.0,88,31
710,72,9.0,33,3
711,61,12.0,78,21
712,55,10.0,60,6
713,60,14.0,82,10
714,58,6.0,70,1
715,56,6.0,84,3
716,72,13.0,83,4
717,54,6.0,77,3
718,67,6.0,64,0
719,59,13.0,76,4
720,58,8.0,79,11
721,55,7.0,87,0
722,40,8.0,68,21
723,43,5.0,59,3
724,63,10.0,73,0
725,59,12.0,39,34
726,54,17.0,51,0
727,44,4.0,70,24
728,61,11.0,87,14
729,54,10.0,46,27
730,66,12.0,75,4
731,46,12.0,47,4
732,42,13.0,70,11
733,58,15.0,52,42
734,46,8.0,51,7
735,49,8.0,49,1
736,43,5.0,69,4
737,60,13.0,63,8
738,50,12.0,61,7
739,59,8.0,79,10
740,26,13.0,60,3
741,32,15.0,72,14
742,39,15.0,51,3
743,46,6.0,56,30
744,38,12.0,58,6
745,31,17.0,65,20
746,42,18.0,56,0
747,68,9.0,65,16
748,65,6.0,88,17
749,51,15.0,62,27
750,55,13.0,62,0
751,60,12.0,52,3
752,49,15.0,64,48
753,60,8.0,58,42
754,44,18.0,53,27
755,32,12.0,63,13
756,0,0.0,0,4
757,33,10.0,67,27
758,43,20.0,52,8
759,46,11.0,36,28
760,55,8.0,50,7
761,45,24.0,44,34
762,57,12.0,55,25
763,33,11.0,73,24
764,41,11.0,70,14
765,39,14.0,72,4
766,55,12.0,43,17
767,72,10.0,84,3
768,48,14.0,56,37
769,46,15.0,59,5
770,36,9.0,93,0
771,53,13.0,82,14
772,56,8.0,43,17
773,25,8.0,79,3
774,34,16.0,86,11
775,37,12.0,90,6
776,34,12.0,76,10
777,39,15.0,73,10
778,55,7.0,53,3
779,40,14.0,78,20
780,44,18.0,72,21
781,61,13.0,87,6
782,43,10.0,100,4
783,37,15.0,94,0
784,36,14.0,53,23
785,42,14.0,74,5
786,44,9.0,76,8
787,52,14.0,46,24
788,38,15.0,52,23
789,30,11.0,76,7
790,36,6.0,50,16
791,46,7.0,68,9
792,37,12.0,58,4
793,29,11.0,71,11
794,13,15.0,60,21
795,44,12.0,54,38
796,-2,15.0,55,4
797,60,12.0,74,19
798,73,13.0,58,40
799,67,11.0,66,17
800,70,6.0,89,46
801,64,5.0,63,14
802,67,6.0,56,17
803,71,8.0,61,10
804,78,9.0,81,14
805,69,14.0,79,11
806,70,7.0,84,42
807,77,10.0,75,20
808,68,6.0,83,13
809,79,10.0,80,21
810,70,9.0,65,9
811,71,8.0,67,8
812,62,11.0,37,18
813,67,8.0,66,35
814,61,12.0,51,32
815,57,13.0,74,15
816,51,4.0,77,18
817,53,6.0,59,34
818,62,13.0,49,27
819,52,8.0,72,6
820,54,7.0,79,10
821,73,5.0,66,1
822,43,7.0,71,7
823,53,11.0,74,17
824,49,10.0,85,14
825,62,7.0,88,14
826,57,9.0,73,31
827,51,9.0,55,21
828,46,9.0,62,3
829,54,10.0,45,17
830,69,5.0,83,3
831,62,3.0,79,3
832,77,12.0,78,20
833,62,8.0,81,2
834,67,9.0,72,18
835,58,6.0,82,6
836,74,7.0,85,3
837,58,7.0,85,28
838,50,10.0,52,4
839,56,8.0,58,27
840,63,13.0,58,16
841,45,6.0,74,13
842,49,11.0,65,0
843,64,14.0,50,10
844,63,8.0,84,13
845,62,12.0,49,13
846,46,18.0,64,7
847,51,17.0,54,2
848,49,12.0,44,17
849,57,18.0,41,14
850,46,12.0,54,3
851,45,14.0,56,3
852,45,17.0,63,23
853,55,7.0,44,11
854,55,9.0,58,28
855,56,10.0,88,12
856,40,8.0,75,13
857,62,6.0,72,20
858,65,8.0,84,14
859,61,10.0,79,3
860,58,8.0,51,26
861,36,9.0,67,3
862,50,16.0,68,6
863,35,6.0,59,8
864,35,7.0,81,18
865,33,7.0,72,17
866,40,15.0,78,6
867,32,7.0,69,4
868,39,12.0,80,7
869,34,9.0,73,0
870,55,7.0,78,0
871,42,8.0,85,3
872,42,11.0,86,7
873,40,14.0,79,1
874,47,9.0,90,21
875,50,9.0,77,27
876,40,11.0,90,22
877,52,8.0,79,20
878,59,6.0,89,3
879,50,10.0,55,20
880,45,12.0,70,31
881,50,10.0,72,5
882,50,15.0,63,0
883,50,9.0,63,12
884,53,12.0,60,17
885,52,13.0,70,34
886,40,15.0,86,12
887,46,15.0,71,9
888,40,7.0,56,44
889,35,13.0,74,28
890,52,16.0,80,7
891,31,8.0,70,10
892,60,15.0,89,6
893,32,11.0,68,35
894,19,14.0,74,13
895,30,14.0,57,3
896,32,9.0,48,17
897,33,17.0,50,7
898,52,6.0,85,1
899,31,16.0,49,12
900,36,10.0,54,21
901,51,13.0,87,10
902,17,20.0,61,11
903,30,20.0,83,18
904,29,21.0,54,11
905,58,7.0,55,4
906,22,19.0,71,1
907,28,20.0,63,7
908,24,15.0,56,2
909,37,14.0,48,10
910,33,12.0,62,11
