,temperature,wind_mph,humid,total_Score
774,34,16.0,86,51
775,37,12.0,90,40
776,34,12.0,76,38
777,39,15.0,73,38
778,55,7.0,53,51
779,40,14.0,78,40
780,44,18.0,72,55
781,61,13.0,87,62
782,43,10.0,100,36
783,37,15.0,94,20
784,36,14.0,53,37
785,42,14.0,74,25
786,44,9.0,76,40
787,52,14.0,46,44
788,38,15.0,52,51
789,30,11.0,76,41
790,36,6.0,50,44
791,46,7.0,68,37
792,37,12.0,58,52
793,29,11.0,71,17
794,13,15.0,60,35
795,44,12.0,54,66
796,-2,15.0,55,38
797,60,12.0,74,47
798,73,13.0,58,54
799,67,11.0,66,43
800,70,6.0,89,72
801,64,5.0,63,54
802,67,6.0,56,37
803,71,8.0,61,66
804,78,9.0,81,34
805,69,14.0,79,37
806,70,7.0,84,42
807,77,10.0,75,54
808,68,6.0,83,39
809,79,10.0,80,35
810,70,9.0,65,59
811,71,8.0,67,48
812,62,11.0,37,52
813,67,8.0,66,55
814,61,12.0,51,58
815,57,13.0,74,41
816,51,4.0,77,30
817,53,6.0,59,48
818,62,13.0,49,69
819,52,8.0,72,40
820,54,7.0,79,44
821,73,5.0,66,41
822,43,7.0,71,55
823,53,11.0,74,37
824,49,10.0,85,34
825,62,7.0,88,34
826,57,9.0,73,45
827,51,9.0,55,35
828,46,9.0,62,31
829,54,10.0,45,59
830,69,5.0,83,45
831,62,3.0,79,29
832,77,12.0,78,48
833,62,8.0,81,30
834,67,9.0,72,38
835,58,6.0,82,48
836,74,7.0,85,37
837,58,7.0,85,56
838,50,10.0,52,28
839,56,8.0,58,55
840,63,13.0,58,36
841,45,6.0,74,27
842,49,11.0,65,28
843,64,14.0,50,50
844,63,8.0,84,41
845,62,12.0,49,45
846,46,18.0,64,21
847,51,17.0,54,50
848,49,12.0,44,37
849,57,18.0,41,48
850,46,12.0,54,23
851,45,14.0,56,9
852,45,17.0,63,37
853,55,7.0,44,45
854,55,9.0,58,62
855,56,10.0,88,54
856,40,8.0,75,41
857,62,6.0,72,62
858,65,8.0,84,20
859,61,10.0,79,17
860,58,8.0,51,26
861,36,9.0,67,23
862,50,16.0,68,48
863,35,6.0,59,46
864,35,7.0,81,52
865,33,7.0,72,37
866,40,15.0,78,26
867,32,7.0,69,24
868,39,12.0,80,27
869,34,9.0,73,56
870,55,7.0,78,40
871,42,8.0,85,29
872,42,11.0,86,19
873,40,14.0,79,13
874,47,9.0,90,69
875,50,9.0,77,27
876,40,11.0,90,36
877,52,8.0,79,68
878,59,6.0,89,45
879,50,10.0,55,34
880,45,12.0,70,37
881,50,10.0,72,29
882,50,15.0,63,40
883,50,9.0,63,30
884,53,12.0,60,73
885,52,13.0,70,60
886,40,15.0,86,12
887,46,15.0,71,49
888,40,7.0,56,44
889,35,13.0,74,34
890,52,16.0,80,47
891,31,8.0,70,30
892,60,15.0,89,40
893,32,11.0,68,55
894,19,14.0,74,19
895,30,14.0,57,45
896,32,9.0,48,31
897,33,17.0,50,49
898,52,6.0,85,33
899,31,16.0,49,46
900,36,10.0,54,35
901,51,13.0,87,50
902,17,20.0,61,43
903,30,20.0,83,38
904,29,21.0,54,17
905,58,7.0,55,52
906,22,19.0,71,55
907,28,20.0,63,41
908,24,15.0,56,26
909,37,14.0,48,38
910,33,12.0,62,51
911,33,7.0,73,38
912,27,22.0,60,34
913,66,12.0,80,23
914,62,14.0,92,36
915,63,10.0,64,47
916,54,6.0,74,17
917,56,8.0,73,29
918,61,14.0,53,47
919,77,7.0,75,27
920,58,13.0,59,47
921,78,12.0,74,46
922,63,4.0,67,37
923,53,11.0,83,50
924,54,11.0,59,21
925,64,11.0,70,68
926,55,12.0,65,24
927,53,7.0,65,66
928,74,7.0,71,38
929,66,10.0,83,24
930,69,11.0,37,53
931,55,10.0,71,41
932,61,11.0,35,34
933,57,12.0,61,45
934,57,10.0,72,49
935,66,11.0,72,26
936,68,12.0,73,35
937,55,14.0,58,52
938,67,9.0,81,17
939,61,6.0,82,50
940,70,4.0,73,41
941,61,8.0,37,48
942,56,12.0,78,45
943,80,15.0,74,44
944,56,12.0,73,31
945,66,6.0,74,44
946,42,14.0,59,73
947,54,4.0,54,34
948,55,9.0,74,37
949,48,9.0,67,20
950,57,9.0,57,28
951,71,12.0,68,40
952,69,10.0,62,63
953,61,12.0,62,55
954,44,14.0,70,38
955,48,5.0,49,45
956,47,7.0,58,23
957,51,10.0,62,16
958,46,6.0,63,21
959,46,10.0,73,42
960,40,15.0,79,34
961,56,16.0,74,28
962,40,12.0,88,45
963,52,12.0,87,52
964,45,10.0,82,93
965,56,11.0,84,72
966,61,6.0,89,44
967,61,10.0,84,58
968,56,14.0,82,43
969,61,11.0,67,40
970,46,12.0,91,56
971,61,9.0,63,71
972,63,6.0,66,50
973,45,7.0,86,45
974,51,12.0,77,20
975,48,4.0,72,59
976,44,8.0,87,48
977,46,8.0,69,54
978,28,12.0,71,27
979,34,16.0,48,49
980,34,12.0,49,40
981,28,11.0,71,16
982,33,14.0,64,20
983,33,8.0,58,69
984,57,14.0,76,37
985,39,5.0,48,79
986,59,7.0,59,47
987,55,13.0,58,64
988,44,10.0,64,45
989,42,7.0,74,45
990,31,9.0,67,26
991,62,8.0,75,81
992,32,7.0,85,66
993,40,8.0,64,47
994,52,15.0,79,48
995,36,12.0,75,27
996,37,13.0,54,57
997,35,11.0,60,37
998,39,11.0,50,19
999,34,11.0,61,52
1000,32,17.0,60,30
1001,50,9.0,52,43
1002,54,11.0,81,63
1003,34,12.0,62,17
1004,32,10.0,57,63
1005,57,9.0,73,33
1006,34,9.0,57,34
1007,34,10.0,46,55
1008,44,16.0,84,62
1009,35,16.0,62,27
1010,56,12.0,71,37
1011,39,15.0,71,48
1012,35,12.0,75,38
1013,22,14.0,86,17
1014,35,10.0,72,31
1015,32,8.0,79,30
1016,34,15.0,72,24
1017,33,13.0,84,28
1018,62,21.0,82,27
1019,61,9.0,88,20
1020,17,14.0,80,73
1021,64,14.0,78,51
1022,36,10.0,63,13
1023,54,15.0,79,30
1024,30,13.0,51,41
1025,24,9.0,81,23
1026,10,7.0,83,43
1027,51,14.0,95,52
1028,8,9.0,75,34
1029,55,14.0,84,30
1030,63,10.0,84,47
1031,71,13.0,70,40
1032,82,8.0,81,17
1033,66,12.0,75,40
1034,63,7.0,72,35
1035,59,21.0,74,43
1036,67,7.0,73,24
1037,70,12.0,78,37
1038,66,8.0,70,30
1039,65,8.0,68,26
1040,74,10.0,58,52
1041,66,12.0,64,41
1042,74,13.0,67,52
1043,54,12.0,69,41
1044,52,9.0,65,36
1045,49,7.0,54,29
1046,80,9.0,17,54
1047,72,8.0,30,65
1048,60,11.0,64,38
1049,54,10.0,73,44
1050,47,12.0,62,51
1051,69,16.0,86,52
1052,72,0.0,0,30
1053,50,9.0,64,26
1054,56,11.0,74,19
1055,61,9.0,64,68
1056,54,16.0,66,22
1057,82,7.0,79,33
1058,59,17.0,68,20
1059,58,12.0,61,54
1060,68,11.0,79,47
1061,51,7.0,46,33
1062,65,8.0,34,41
1063,74,8.0,68,24
1064,53,8.0,53,27
1065,48,11.0,52,23
1066,50,14.0,58,65
1067,60,8.0,44,39
1068,55,13.0,54,42
1069,66,9.0,76,26
1070,66,8.0,77,26
1071,60,9.0,76,58
1072,67,6.0,86,41
1073,72,0.0,0,44
1074,64,9.0,79,53
1075,50,7.0,76,41
1076,57,9.0,57,33
1077,61,10.0,73,13
1078,51,8.0,84,57
1079,59,7.0,85,33
1080,49,9.0,62,24
1081,68,8.0,72,42
1082,53,14.0,54,55
1083,50,10.0,55,27
1084,46,22.0,52,16
1085,72,0.0,0,10
1086,51,15.0,49,51
1087,46,14.0,64,65
1088,45,4.0,60,46
1089,49,16.0,76,47
1090,46,9.0,63,52
1091,52,10.0,69,67
1092,43,5.0,51,34
1093,57,9.0,78,40
1094,58,6.0,80,54
1095,64,12.0,78,43
1096,54,10.0,87,47
1097,59,11.0,76,52
1098,59,11.0,76,16
1099,59,9.0,70,26
1100,61,6.0,71,30
1101,77,6.0,75,28
1102,55,8.0,71,45
1103,52,4.0,93,20
1104,63,10.0,67,62
1105,62,10.0,83,46
1106,56,13.0,68,33
1107,51,11.0,79,16
1108,47,8.0,70,47
1109,62,7.0,75,37
1110,56,10.0,72,38
1111,44,5.0,73,44
1112,48,6.0,83,37
1113,58,8.0,70,35
1114,48,8.0,87,55
1115,36,7.0,82,22
1116,53,11.0,80,32
1117,40,4.0,66,34
1118,57,2.0,72,47
1119,58,8.0,74,36
1120,55,10.0,81,31
1121,52,12.0,64,43
1122,65,10.0,79,36
1123,39,7.0,70,57
1124,61,9.0,69,45
1125,56,11.0,67,33
1126,53,11.0,72,41
1127,46,7.0,74,38
1128,49,10.0,82,31
1129,42,6.0,70,53
1130,45,4.0,80,29
1131,62,11.0,61,20
1132,60,5.0,76,43
1133,50,14.0,83,23
1134,35,15.0,74,24
1135,72,0.0,0,50
1136,42,14.0,89,45
1137,68,10.0,18,51
1138,25,9.0,61,44
1139,50,15.0,84,68
1140,53,14.0,97,26
1141,44,17.0,97,30
1142,77,12.0,82,31
1143,54,10.0,91,34
1144,29,14.0,61,39
1145,28,12.0,66,43
1146,42,8.0,57,38
